Region,Country,ISO,Median_Road_Width_m
Northern Africa,Algeria,DZA,4
Northern Africa,Egypt,EGY,4
Northern Africa,Libya,LBY,4
Northern Africa,Morocco,MAR,4
Northern Africa,Sudan,SDN,4
Northern Africa,Tunisia,TUN,4
Northern Africa,Western Sahara,ESH,4
Eastern Africa,British Indian Ocean Territory,IOT,2.5
Eastern Africa,Burundi,BDI,2.5
Eastern Africa,comoros,COM,2.5
Eastern Africa,Djibouti,DJI,2.5
Eastern Africa,Eritrea,ERI,2.5
Eastern Africa,Ethiopia,ETH,2.5
Eastern Africa,French Southern Territories,ATF,2.5
Eastern Africa,Kenya,KEN,2.5
Eastern Africa,Madagascar,MDG,2.5
Eastern Africa,Malawi,MWI,2.5
Eastern Africa,Mauritius,MUS,2.5
Eastern Africa,Mayotte,MYT,2.5
Eastern Africa,Mozambique,MOZ,2.5
Eastern Africa,Reunion,REU,2.5
Eastern Africa,Rwanda,RWA,2.5
Eastern Africa,Seychelles,SYC,2.5
Eastern Africa,Somalia,SOM,2.5
Eastern Africa,South Sudan,SSD,2.5
Eastern Africa,Uganda,UGA,2.5
Eastern Africa,Untited Republic of Tanzania,TZA,2.5
Eastern Africa,Zambia,ZMB,2.5
Eastern Africa,Zimbabwe,ZWE,2.5
Middle Africa,Anglola,AGO,8
Middle Africa,Cameroon,CMR,8
Middle Africa,Central African Republic,CAF,8
Middle Africa,Chad,TCD,8
Middle Africa,Congo,COG,8
Middle Africa,Democratic Republic of the Congo,COD,8
Middle Africa,Equatorial Guinea,GNQ,8
Middle Africa,Gabon,GAB,8
Middle Africa,Sao Tome and Principe,STP,8
Southern Africa,Botswana,BWA,5.6
Southern Africa,Eswatini,SWZ,5.6
Southern Africa,Lesotho,LSO,5.6
Southern Africa,Namibia,NAM,5.6
Southern Africa,South Africa,ZAF,5.6
Western Africa,Benin,BEN,3.5
Western Africa,Burkina Faso,BFA,3.5
Western Africa,Cabo Verde,CPV,3.5
Western Africa,Cote dIvoire,CIV,3.5
Western Africa,Gambia,GMB,3.5
Western Africa,Ghana,GHA,3.5
Western Africa,Guinea,GIN,3.5
Western Africa,Guinea-Bissau,GNB,3.5
Western Africa,Liberia,LBR,3.5
Western Africa,Mali,MLI,3.5
Western Africa,Mauritania,MRT,3.5
Western Africa,Niger,NER,3.5
Western Africa,Nigeria,NGA,3.5
Western Africa,Saint Helena,SHN,3.5
Western Africa,Senegal,SEN,3.5
Western Africa,Sierra Leone,SLE,3.5
Western Africa,Togo,TGO,3.5
Latin America and the Caribbean,Anguilla,AIA,4
Latin America and the Caribbean,Antigua and Barbuda,ATG,4
Latin America and the Caribbean,Aruba,ABW,4
Latin America and the Caribbean,Bahamas,BHS,4
Latin America and the Caribbean,Barbados,BRB,4
Latin America and the Caribbean,"Bonaire, Sint Eustatius and Saba",BES,4
Latin America and the Caribbean,British Virigin Islands,VGB,4
Latin America and the Caribbean,Cayman Islands,CYM,4
Latin America and the Caribbean,Cuba,CUB,4
Latin America and the Caribbean,Curacao,CUW,4
Latin America and the Caribbean,Dominica,DMA,4
Latin America and the Caribbean,Dominican Republic,DOM,4
Latin America and the Caribbean,Grenada,GRD,4
Latin America and the Caribbean,Guadeloupe,GLP,4
Latin America and the Caribbean,Haiti,HTI,4
Latin America and the Caribbean,Jamaica,JAM,4
Latin America and the Caribbean,Martinique,MTQ,4
Latin America and the Caribbean,Montserrat,MSR,4
Latin America and the Caribbean,Puerto Rico,PRI,4
Latin America and the Caribbean,Saint Barthelemy,BLM,4
Latin America and the Caribbean,Saint Kitts and Nevis,KNA,4
Latin America and the Caribbean,Saint Lucia,LCA,4
Latin America and the Caribbean,Saint Martin,MAF,4
Latin America and the Caribbean,Saint Vincent and the Grenadines,VCT,4
Latin America and the Caribbean,Sint Maarten,SXM,4
Latin America and the Caribbean,Trinidad and Tobago,TTO,4
Latin America and the Caribbean,Turks and Caicos Islands,TCA,4
Latin America and the Caribbean,United States Virigin Islands,VIR,4
Latin America and the Caribbean,Belize,BLZ,4
Latin America and the Caribbean,Costa Rica,CRI,4
Latin America and the Caribbean,El Salvador,SLV,4
Latin America and the Caribbean,Guatemala,GTM,4
Latin America and the Caribbean,Honduras,HND,4
Latin America and the Caribbean,Mexico,MEX,4
Latin America and the Caribbean,Nicaragua,NIC,4
Latin America and the Caribbean,Panama,PAN,4
Latin America and the Caribbean,Argentina,ARG,4
